icd_code,icd_version,diagnosis_title,diagnosis_key
S82435R,10,"Nondisplaced oblique fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",10-S82435R
S82856B,10,"Nondisplaced trimalleolar fracture of unspecified lower leg, initial encounter for open fracture type I or II",10-S82856B
S85132A,10,"Unspecified injury of anterior tibial artery, left leg, initial encounter",10-S85132A
S96922A,10,"Laceration of unspecified muscle and tendon at ankle and foot level, left foot, initial encounter",10-S96922A
T17220A,10,"Food in pharynx causing asphyxiation, initial encounter",10-T17220A
T17510A,10,"Gastric contents in bronchus causing asphyxiation, initial encounter",10-T17510A
T18100A,10,"Unspecified foreign body in esophagus causing compression of trachea, initial encounter",10-T18100A
T24399,10,"Burn of third degree of multiple sites of unspecified lower limb, except ankle and foot",10-T24399
T24522S,10,"Corrosion of first degree of left knee, sequela",10-T24522S
T363X4A,10,"Poisoning by macrolides, undetermined, initial encounter",10-T363X4A
T411X6S,10,"Underdosing of intravenous anesthetics, sequela",10-T411X6S
T424X,10,"Poisoning by, adverse effect of and underdosing of benzodiazepines",10-T424X
T441X3S,10,"Poisoning by other parasympathomimetics [cholinergics], assault, sequela",10-T441X3S
T468X5A,10,"Adverse effect of antivaricose drugs, including sclerosing agents, initial encounter",10-T468X5A
T48205D,10,"Adverse effect of unspecified drugs acting on muscles, subsequent encounter",10-T48205D
T50Z16S,10,"Underdosing of immunoglobulin, sequela",10-T50Z16S
T540X3S,10,"Toxic effect of phenol and phenol homologues, assault, sequela",10-T540X3S
T579,10,Toxic effect of unspecified inorganic substance,10-T579
T63004D,10,"Toxic effect of unspecified snake venom, undetermined, subsequent encounter",10-T63004D
T63334D,10,"Toxic effect of venom of brown recluse spider, undetermined, subsequent encounter",10-T63334D
T650X3D,10,"Toxic effect of cyanides, assault, subsequent encounter",10-T650X3D
T82110S,10,"Breakdown (mechanical) of cardiac electrode, sequela",10-T82110S
V0111XS,10,"Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, sequela",10-V0111XS
V0591XS,10,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela",10-V0591XS
V230XXA,10,"Motorcycle driver injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",10-V230XXA
V304XXA,10,"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedestrian or animal, initial encounter",10-V304XXA
V681XXA,10,"Passenger in heavy transport vehicle injured in noncollision transport accident in nontraffic accident, initial encounter",10-V681XXA
V9115XA,10,"Crushed between canoe or kayak and other watercraft or other object due to collision, initial encounter",10-V9115XA
V9532XD,10,"Forced landing of commercial fixed-wing aircraft injuring occupant, subsequent encounter",10-V9532XD
X959XXD,10,"Assault by unspecified firearm discharge, subsequent encounter",10-X959XXD
Z30432,10,Encounter for removal of intrauterine contraceptive device,10-Z30432
Z52812,10,"Egg (Oocyte) donor age 35 and over, anonymous recipient",10-Z52812
Z764,10,Other boarder to healthcare facility,10-Z764
Z972,10,Presence of dental prosthetic device (complete) (partial),10-Z972
C472,10,"Malignant neoplasm of peripheral nerves of lower limb, including hip",10-C472
C8291,10,"Follicular lymphoma, unspecified, lymph nodes of head, face, and neck",10-C8291
C8305,10,"Small cell B-cell lymphoma, lymph nodes of inguinal region and lower limb",10-C8305
D41,10,Neoplasm of uncertain behavior of urinary organs,10-D41
D51,10,Vitamin B12 deficiency anemia,10-D51
D591,10,Other autoimmune hemolytic anemias,10-D591
E086,10,Diabetes mellitus due to underlying condition with other specified complications,10-E086
E2839,10,Other primary ovarian failure,10-E2839
F119,10,"Opioid use, unspecified",10-F119
G06,10,Intracranial and intraspinal abscess and granuloma,10-G06
G43511,10,"Persistent migraine aura without cerebral infarction, intractable, with status migrainosus",10-G43511
H25013,10,"Cortical age-related cataract, bilateral",10-H25013
H59353,10,"Postprocedural seroma of eye and adnexa following an ophthalmic procedure, bilateral",10-H59353
H70013,10,"Subperiosteal abscess of mastoid, bilateral",10-H70013
I2573,10,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris,10-I2573
I443,10,Other and unspecified atrioventricular block,10-I443
I513,10,"Intracardiac thrombosis, not elsewhere classified",10-I513
I6331,10,Cerebral infarction due to thrombosis of middle cerebral artery,10-I6331
K613,10,Ischiorectal abscess,10-K613
L86,10,Keratoderma in diseases classified elsewhere,10-L86
M480,10,Spinal stenosis,10-M480
M50920,10,"Unspecified cervical disc disorder, mid-cervical region, unspecified level",10-M50920
M61174,10,"Myositis ossificans progressiva, right foot",10-M61174
M62562,10,"Muscle wasting and atrophy, not elsewhere classified, left lower leg",10-M62562
M66279,10,"Spontaneous rupture of extensor tendons, unspecified ankle and foot",10-M66279
M67829,10,"Other specified disorders of synovium and tendon, unspecified elbow",10-M67829
M8080XG,10,"Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with delayed healing",10-M8080XG
M84512S,10,"Pathological fracture in neoplastic disease, left shoulder, sequela",10-M84512S
M86561,10,"Other chronic hematogenous osteomyelitis, right tibia and fibula",10-M86561
M87132,10,Osteonecrosis due to drugs of left radius,10-M87132
O098,10,Supervision of other high risk pregnancies,10-O098
O221,10,Genital varices in pregnancy,10-O221
O29021,10,"Pressure collapse of lung due to anesthesia during pregnancy, first trimester",10-O29021
O6014X3,10,"Preterm labor third trimester with preterm delivery third trimester, fetus 3",10-O6014X3
P032,10,Newborn affected by forceps delivery,10-P032
Q548,10,Other hypospadias,10-Q548
Q6602,10,"Congenital talipes equinovarus, left foot",10-Q6602
Q851,10,Tuberous sclerosis,10-Q851
R092,10,Respiratory arrest,10-R092
R591,10,Generalized enlarged lymph nodes,10-R591
S01131D,10,"Puncture wound without foreign body of right eyelid and periocular area, subsequent encounter",10-S01131D
S15099S,10,"Other specified injury of unspecified carotid artery, sequela",10-S15099S
S20111A,10,"Abrasion of breast, right breast, initial encounter",10-S20111A
S20321A,10,"Blister (nonthermal) of right front wall of thorax, initial encounter",10-S20321A
S271XXD,10,"Traumatic hemothorax, subsequent encounter",10-S271XXD
S27312D,10,"Primary blast injury of lung, bilateral, subsequent encounter",10-S27312D
S27421D,10,"Contusion of bronchus, unilateral, subsequent encounter",10-S27421D
S31151D,10,"Open bite of abdominal wall, left upper quadrant without penetration into peritoneal cavity, subsequent encounter",10-S31151D
S32416D,10,"Nondisplaced fracture of anterior wall of unspecified acetabulum, subsequent encounter for fracture with routine healing",10-S32416D
S32454,10,Nondisplaced transverse fracture of right acetabulum,10-S32454
S34124A,10,"Incomplete lesion of L4 level of lumbar spinal cord, initial encounter",10-S34124A
S360,10,Injury of spleen,10-S360
S36220D,10,"Contusion of head of pancreas, subsequent encounter",10-S36220D
S37012A,10,"Minor contusion of left kidney, initial encounter",10-S37012A
S37898D,10,"Other injury of other urinary and pelvic organ, subsequent encounter",10-S37898D
S42401D,10,"Unspecified fracture of lower end of right humerus, subsequent encounter for fracture with routine healing",10-S42401D
S50821D,10,"Blister (nonthermal) of right forearm, subsequent encounter",10-S50821D
S52344Q,10,"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion",10-S52344Q
S52351B,10,"Displaced comminuted fracture of shaft of radius, right arm, initial encounter for open fracture type I or II",10-S52351B
S52509A,10,"Unspecified fracture of the lower end of unspecified radius, initial encounter for closed fracture",10-S52509A
S52561F,10,"Barton's fracture of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",10-S52561F
S52591J,10,"Other fractures of lower end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",10-S52591J
S53021A,10,"Posterior subluxation of right radial head, initial encounter",10-S53021A
S55811D,10,"Laceration of other blood vessels at forearm level, right arm, subsequent encounter",10-S55811D
S59092S,10,"Other physeal fracture of lower end of ulna, left arm, sequela",10-S59092S
S59142S,10,"Salter-Harris Type IV physeal fracture of upper end of radius, left arm, sequela",10-S59142S
S60119,10,Contusion of unspecified thumb with damage to nail,10-S60119
S60121,10,Contusion of right index finger with damage to nail,10-S60121
S62209B,10,"Unspecified fracture of first metacarpal bone, unspecified hand, initial encounter for open fracture",10-S62209B
S62304A,10,"Unspecified fracture of fourth metacarpal bone, right hand, initial encounter for closed fracture",10-S62304A
S62327A,10,"Displaced fracture of shaft of fifth metacarpal bone, left hand, initial encounter for closed fracture",10-S62327A
S62338S,10,"Displaced fracture of neck of other metacarpal bone, sequela",10-S62338S
S62645K,10,"Nondisplaced fracture of proximal phalanx of left ring finger, subsequent encounter for fracture with nonunion",10-S62645K
S63215D,10,"Subluxation of metacarpophalangeal joint of left ring finger, subsequent encounter",10-S63215D
S63272S,10,"Dislocation of unspecified interphalangeal joint of right middle finger, sequela",10-S63272S
S63294A,10,"Dislocation of distal interphalangeal joint of right ring finger, initial encounter",10-S63294A
S63428A,10,"Traumatic rupture of palmar ligament of other finger at metacarpophalangeal and interphalangeal joint, initial encounter",10-S63428A
S66103A,10,"Unspecified injury of flexor muscle, fascia and tendon of left middle finger at wrist and hand level, initial encounter",10-S66103A
S68614A,10,"Complete traumatic transphalangeal amputation of right ring finger, initial encounter",10-S68614A
S68623S,10,"Partial traumatic transphalangeal amputation of left middle finger, sequela",10-S68623S
S700,10,Contusion of hip,10-S700
S71139S,10,"Puncture wound without foreign body, unspecified thigh, sequela",10-S71139S
S72321F,10,"Displaced transverse fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",10-S72321F
S72462H,10,"Displaced supracondylar fracture with intracondylar extension of lower end of left femur, subsequent encounter for open fracture type I or II with delayed healing",10-S72462H
S760,10,"Injury of muscle, fascia and tendon of hip",10-S760
S76399A,10,"Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh, initial encounter",10-S76399A
S78119A,10,"Complete traumatic amputation at level between unspecified hip and knee, initial encounter",10-S78119A
S82036F,10,"Nondisplaced transverse fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",10-S82036F
S82121C,10,"Displaced fracture of lateral condyle of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",10-S82121C
S82123N,10,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",10-S82123N
S82192P,10,"Other fracture of upper end of left tibia, subsequent encounter for closed fracture with malunion",10-S82192P
S8229,10,Other fracture of shaft of tibia,10-S8229
S82861G,10,"Displaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with delayed healing",10-S82861G
S91311D,10,"Laceration without foreign body, right foot, subsequent encounter",10-S91311D
S92591B,10,"Other fracture of right lesser toe(s), initial encounter for open fracture",10-S92591B
S92819K,10,"Other fracture of unspecified foot, subsequent encounter for fracture with nonunion",10-S92819K
S93106S,10,"Unspecified dislocation of unspecified toe(s), sequela",10-S93106S
S96109A,10,"Unspecified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, unspecified foot, initial encounter",10-S96109A
T2840,10,Burn of unspecified internal organ,10-T2840
T34822S,10,"Frostbite with tissue necrosis of left foot, sequela",10-T34822S
T63313D,10,"Toxic effect of venom of black widow spider, assault, subsequent encounter",10-T63313D
T82190S,10,"Other mechanical complication of cardiac electrode, sequela",10-T82190S
T88,10,"Other complications of surgical and medical care, not elsewhere classified",10-T88
V0028,10,Other gliding-type pedestrian conveyance accident,10-V0028
V422,10,Person on outside of car injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,10-V422
V523,10,Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,10-V523
V619XXD,10,"Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter",10-V619XXD
V9003XD,10,"Drowning and submersion due to other powered watercraft overturning, subsequent encounter",10-V9003XD
V9120XA,10,"Fall due to collision between merchant ship and other watercraft or other object, initial encounter",10-V9120XA
W16222A,10,"Fall in (into) bucket of water causing other injury, initial encounter",10-W16222A
W5619XD,10,"Other contact with sea lion, subsequent encounter",10-W5619XD
Y3501,10,Legal intervention involving injury by machine gun,10-Y3501
Y35129S,10,"Legal intervention involving injury by explosive shell, unspecified person injured, sequela",10-Y35129S
Y37410S,10,"Military operations involving rubber bullets, military personnel, sequela",10-Y37410S
Y377X1A,10,"Military operations involving chemical weapons and other forms of unconventional warfare, civilian, initial encounter",10-Y377X1A
Z8552,10,Personal history of malignant neoplasm of kidney,10-Z8552
Z986,10,Angioplasty status,10-Z986
A802,10,"Acute paralytic poliomyelitis, wild virus, indigenous",10-A802
B482,10,Allescheriasis,10-B482
C113,10,Malignant neoplasm of anterior wall of nasopharynx,10-C113
C15,10,Malignant neoplasm of esophagus,10-C15
D236,10,"Other benign neoplasm of skin of upper limb, including shoulder",10-D236
E231,10,Drug-induced hypopituitarism,10-E231
E858,10,Other amyloidosis,10-E858
F1699,10,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder",10-F1699
F1925,10,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder,10-F1925
G629,10,"Polyneuropathy, unspecified",10-G629
G7000,10,Myasthenia gravis without (acute) exacerbation,10-G7000
H0241,10,Mechanical ptosis of eyelid,10-H0241
H3504,10,"Retinal micro-aneurysms, unspecified",10-H3504
H35073,10,"Retinal telangiectasis, bilateral",10-H35073
H4030X2,10,"Glaucoma secondary to eye trauma, unspecified eye, moderate stage",10-H4030X2
H59369,10,Postprocedural seroma of unspecified eye and adnexa following other procedure,10-H59369
H7323,10,"Unspecified myringitis, bilateral",10-H7323
H8022,10,"Cochlear otosclerosis, left ear",10-H8022
I9742,10,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating other procedure,10-I9742
J95861,10,Postprocedural hematoma of a respiratory system organ or structure following other procedure,10-J95861
K08432,10,"Partial loss of teeth due to caries, class II",10-K08432
K3530,10,"Acute appendicitis with localized peritonitis, without perforation or gangrene",10-K3530
K460,10,"Unspecified abdominal hernia with obstruction, without gangrene",10-K460
K51214,10,Ulcerative (chronic) proctitis with abscess,10-K51214
K8001,10,Calculus of gallbladder with acute cholecystitis with obstruction,10-K8001
K8592,10,"Acute pancreatitis with infected necrosis, unspecified",10-K8592
L50,10,Urticaria,10-L50
L98499,10,Non-pressure chronic ulcer of skin of other sites with unspecified severity,10-L98499
M052,10,Rheumatoid vasculitis with rheumatoid arthritis,10-M052
M05319,10,Rheumatoid heart disease with rheumatoid arthritis of unspecified shoulder,10-M05319
M1A0410,10,"Idiopathic chronic gout, right hand, without tophus (tophi)",10-M1A0410
M25062,10,"Hemarthrosis, left knee",10-M25062
M25352,10,"Other instability, left hip",10-M25352
M25629,10,"Stiffness of unspecified elbow, not elsewhere classified",10-M25629
M84322,10,"Stress fracture, left humerus",10-M84322
M84329G,10,"Stress fracture, unspecified humerus, subsequent encounter for fracture with delayed healing",10-M84329G
M84362,10,"Stress fracture, left tibia",10-M84362
M8462,10,"Pathological fracture in other disease, humerus",10-M8462
M85439,10,"Solitary bone cyst, unspecified ulna and radius",10-M85439
M85832,10,"Other specified disorders of bone density and structure, left forearm",10-M85832
M88862,10,Osteitis deformans of left lower leg,10-M88862
N13731,10,"Vesicoureteral-reflux with reflux nephropathy with hydroureter, unilateral",10-N13731
O03,10,Spontaneous abortion,10-O03
O0387,10,Sepsis following complete or unspecified spontaneous abortion,10-O0387
O36813,10,"Decreased fetal movements, third trimester",10-O36813
O9A512,10,"Psychological abuse complicating pregnancy, second trimester",10-O9A512
P0229,10,Newborn affected by other morphological and functional abnormalities of placenta,10-P0229
Q049,10,"Congenital malformation of brain, unspecified",10-Q049
Q131,10,Absence of iris,10-Q131
Q302,10,"Fissured, notched and cleft nose",10-Q302
S0037XA,10,"Other superficial bite of nose, initial encounter",10-S0037XA
S020XXK,10,"Fracture of vault of skull, subsequent encounter for fracture with nonunion",10-S020XXK
S0231XK,10,"Fracture of orbital floor, right side, subsequent encounter for fracture with nonunion",10-S0231XK
S02641G,10,"Fracture of ramus of right mandible, subsequent encounter for fracture with delayed healing",10-S02641G
S0542XD,10,"Penetrating wound of orbit with or without foreign body, left eye, subsequent encounter",10-S0542XD
S20151S,10,"Superficial foreign body of breast, right breast, sequela",10-S20151S
S22002D,10,"Unstable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing",10-S22002D
S2239XA,10,"Fracture of one rib, unspecified side, initial encounter for closed fracture",10-S2239XA
S30854S,10,"Superficial foreign body of vagina and vulva, sequela",10-S30854S
S3994XA,10,"Unspecified injury of external genitals, initial encounter",10-S3994XA
S42253D,10,"Displaced fracture of greater tuberosity of unspecified humerus, subsequent encounter for fracture with routine healing",10-S42253D
S42336K,10,"Nondisplaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion",10-S42336K
S42355S,10,"Nondisplaced comminuted fracture of shaft of humerus, left arm, sequela",10-S42355S
S49199A,10,"Other physeal fracture of lower end of humerus, unspecified arm, initial encounter for closed fracture",10-S49199A
S52024B,10,"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for open fracture type I or II",10-S52024B
S52263A,10,"Displaced segmental fracture of shaft of ulna, unspecified arm, initial encounter for closed fracture",10-S52263A
S52266A,10,"Nondisplaced segmental fracture of shaft of ulna, unspecified arm, initial encounter for closed fracture",10-S52266A
S52311D,10,"Greenstick fracture of shaft of radius, right arm, subsequent encounter for fracture with routine healing",10-S52311D
S52333A,10,"Displaced oblique fracture of shaft of unspecified radius, initial encounter for closed fracture",10-S52333A
S56299A,10,"Other injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm, initial encounter",10-S56299A
S59011S,10,"Salter-Harris Type I physeal fracture of lower end of ulna, right arm, sequela",10-S59011S
S61009,10,Unspecified open wound of unspecified thumb without damage to nail,10-S61009
S62225G,10,"Nondisplaced Rolando's fracture, left hand, subsequent encounter for fracture with delayed healing",10-S62225G
S62344B,10,"Nondisplaced fracture of base of fourth metacarpal bone, right hand, initial encounter for open fracture",10-S62344B
S63015D,10,"Dislocation of distal radioulnar joint of left wrist, subsequent encounter",10-S63015D
S63055A,10,"Dislocation of other carpometacarpal joint of left hand, initial encounter",10-S63055A
S63291,10,Dislocation of distal interphalangeal joint of left index finger,10-S63291
S6351,10,Sprain of carpal (joint),10-S6351
S63653A,10,"Sprain of metacarpophalangeal joint of left middle finger, initial encounter",10-S63653A
S68519S,10,"Complete traumatic transphalangeal amputation of unspecified thumb, sequela",10-S68519S
S68629S,10,"Partial traumatic transphalangeal amputation of unspecified finger, sequela",10-S68629S
S72113R,10,"Displaced fracture of greater trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",10-S72113R
S7221XC,10,"Displaced subtrochanteric fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",10-S7221XC
S72416N,10,"Nondisplaced unspecified condyle fracture of lower end of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",10-S72416N
S82036S,10,"Nondisplaced transverse fracture of unspecified patella, sequela",10-S82036S
S82102J,10,"Unspecified fracture of upper end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",10-S82102J
S82124C,10,"Nondisplaced fracture of lateral condyle of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",10-S82124C
S82145M,10,"Nondisplaced bicondylar fracture of left tibia, subsequent encounter for open fracture type I or II with nonunion",10-S82145M
S82263G,10,"Displaced segmental fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with delayed healing",10-S82263G
S8253XS,10,"Displaced fracture of medial malleolus of unspecified tibia, sequela",10-S8253XS
S85392A,10,"Other specified injury of greater saphenous vein at lower leg level, left leg, initial encounter",10-S85392A
S92135A,10,"Nondisplaced fracture of posterior process of left talus, initial encounter for closed fracture",10-S92135A
S95802A,10,"Unspecified injury of other blood vessels at ankle and foot level, left leg, initial encounter",10-S95802A
S99022K,10,"Salter-Harris Type II physeal fracture of left calcaneus, subsequent encounter for fracture with nonunion",10-S99022K
T1819,10,Other foreign object in esophagus,10-T1819
T2250,10,"Corrosion of first degree of shoulder and upper limb, except wrist and hand unspecified site",10-T2250
T23432,10,"Corrosion of unspecified degree of multiple left fingers (nail), not including thumb",10-T23432
T24392D,10,"Burn of third degree of multiple sites of left lower limb, except ankle and foot, subsequent encounter",10-T24392D
T401X4S,10,"Poisoning by heroin, undetermined, sequela",10-T401X4S
T422X2A,10,"Poisoning by succinimides and oxazolidinediones, intentional self-harm, initial encounter",10-T422X2A
T428X4,10,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, undetermined",10-T428X4
T483X6D,10,"Underdosing of antitussives, subsequent encounter",10-T483X6D
T503X5D,10,"Adverse effect of electrolytic, caloric and water-balance agents, subsequent encounter",10-T503X5D
T506X5,10,Adverse effect of antidotes and chelating agents,10-T506X5
T50992S,10,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm, sequela",10-T50992S
T513X2D,10,"Toxic effect of fusel oil, intentional self-harm, subsequent encounter",10-T513X2D
T541X4S,10,"Toxic effect of other corrosive organic compounds, undetermined, sequela",10-T541X4S
T567X,10,Toxic effects of beryllium and its compounds,10-T567X
T570X3D,10,"Toxic effect of arsenic and its compounds, assault, subsequent encounter",10-T570X3D
T63414A,10,"Toxic effect of venom of centipedes and venomous millipedes, undetermined, initial encounter",10-T63414A
T698XXD,10,"Other specified effects of reduced temperature, subsequent encounter",10-T698XXD
T7500XA,10,"Unspecified effects of lightning, initial encounter",10-T7500XA
T84190D,10,"Other mechanical complication of internal fixation device of right humerus, subsequent encounter",10-T84190D
T8503XD,10,"Leakage of ventricular intracranial (communicating) shunt, subsequent encounter",10-T8503XD
T882XXS,10,"Shock due to anesthesia, sequela",10-T882XXS
V0300XA,10,"Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",10-V0300XA
V4711XS,10,"Passenger of sport utility vehicle injured in collision with fixed or stationary object in nontraffic accident, sequela",10-V4711XS
V8621XA,10,"Person on outside of ambulance or fire engine injured in traffic accident, initial encounter",10-V8621XA
V9731,10,Hit by object falling from aircraft,10-V9731
W2189XA,10,"Striking against or struck by other sports equipment, initial encounter",10-W2189XA
W2201XS,10,"Walked into wall, sequela",10-W2201XS
W5621XD,10,"Bitten by orca, subsequent encounter",10-W5621XD
X002XXS,10,"Injury due to collapse of burning building or structure in uncontrolled fire, sequela",10-X002XXS
X061XXA,10,"Exposure to melting of plastic jewelry, initial encounter",10-X061XXA
X370,10,Hurricane,10-X370
Y35029,10,"Legal intervention involving injury by handgun, unspecified person injured",10-Y35029
Y38893A,10,"Terrorism involving other means, terrorist injured, initial encounter",10-Y38893A
Y389X1A,10,"Terrorism, secondary effects, public safety official injured, initial encounter",10-Y389X1A
Z283,10,Underimmunization status,10-Z283
Z6834,10,"Body mass index (BMI) 34.0-34.9, adult",10-Z6834
A228,10,Other forms of anthrax,10-A228
A493,10,"Mycoplasma infection, unspecified site",10-A493
B672,10,Echinococcus granulosus infection of bone,10-B672
C44390,10,Other specified malignant neoplasm of skin of unspecified parts of face,10-C44390
C8391,10,"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of head, face, and neck",10-C8391
C8413,10,"Sezary disease, intra-abdominal lymph nodes",10-C8413
D3160,10,Benign neoplasm of unspecified site of unspecified orbit,10-D3160
E133413,10,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",10-E133413
E8342,10,Hypomagnesemia,10-E8342
F10230,10,"Alcohol dependence with withdrawal, uncomplicated",10-F10230
H21241,10,"Degeneration of pupillary margin, right eye",10-H21241
H35049,10,"Retinal micro-aneurysms, unspecified, unspecified eye",10-H35049
H3522,10,"Other non-diabetic proliferative retinopathy, left eye",10-H3522
H4040X2,10,"Glaucoma secondary to eye inflammation, unspecified eye, moderate stage",10-H4040X2
H61323,10,"Acquired stenosis of external ear canal secondary to inflammation and infection, bilateral",10-H61323
H90A,10,Conductive and sensorineural hearing loss with restricted hearing on the contralateral side,10-H90A
H95121,10,"Granulation of postmastoidectomy cavity, right ear",10-H95121
I6051,10,Nontraumatic subarachnoid hemorrhage from right vertebral artery,10-I6051
J112,10,Influenza due to unidentified influenza virus with gastrointestinal manifestations,10-J112
K7290,10,"Hepatic failure, unspecified without coma",10-K7290
M07662,10,"Enteropathic arthropathies, left knee",10-M07662
M1240,10,"Intermittent hydrarthrosis, unspecified site",10-M1240
M1A431,10,"Other secondary chronic gout, right wrist",10-M1A431
M2152,10,Acquired clubhand,10-M2152
M25152,10,"Fistula, left hip",10-M25152
M6781,10,"Other specified disorders of synovium and tendon, shoulder",10-M6781
M84434,10,"Pathological fracture, left radius",10-M84434
M84511G,10,"Pathological fracture in neoplastic disease, right shoulder, subsequent encounter for fracture with delayed healing",10-M84511G
M84750K,10,"Atypical femoral fracture, unspecified, subsequent encounter for fracture with nonunion",10-M84750K
M93249,10,"Osteochondritis dissecans, joints of unspecified hand",10-M93249
M9962,10,Osseous and subluxation stenosis of intervertebral foramina of thoracic region,10-M9962
O411029,10,"Infection of amniotic sac and membranes, unspecified, second trimester, other fetus",10-O411029
O418X11,10,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 1",10-O418X11
O98412,10,"Viral hepatitis complicating pregnancy, second trimester",10-O98412
O9972,10,Diseases of the skin and subcutaneous tissue complicating childbirth,10-O9972
P912,10,Neonatal cerebral leukomalacia,10-P912
S0261XG,10,"Fracture of condylar process of mandible, subsequent encounter for fracture with delayed healing",10-S0261XG
S12591G,10,"Other nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",10-S12591G
S14105A,10,"Unspecified injury at C5 level of cervical spinal cord, initial encounter",10-S14105A
S20379,10,Other superficial bite of unspecified front wall of thorax,10-S20379
S22058D,10,"Other fracture of T5-T6 vertebra, subsequent encounter for fracture with routine healing",10-S22058D
S23122D,10,"Subluxation of T3/T4 thoracic vertebra, subsequent encounter",10-S23122D
S24109,10,Unspecified injury at unspecified level of thoracic spinal cord,10-S24109
S25312A,10,"Minor laceration of left innominate or subclavian vein, initial encounter",10-S25312A
S32029K,10,"Unspecified fracture of second lumbar vertebra, subsequent encounter for fracture with nonunion",10-S32029K
S32122B,10,"Severely displaced Zone II fracture of sacrum, initial encounter for open fracture",10-S32122B
S32599,10,Other specified fracture of unspecified pubis,10-S32599
S32615K,10,"Nondisplaced avulsion fracture of left ischium, subsequent encounter for fracture with nonunion",10-S32615K
S3639XA,10,"Other injury of stomach, initial encounter",10-S3639XA
S42017A,10,"Nondisplaced fracture of sternal end of right clavicle, initial encounter for closed fracture",10-S42017A
S42493D,10,"Other displaced fracture of lower end of unspecified humerus, subsequent encounter for fracture with routine healing",10-S42493D
S43396S,10,"Dislocation of other parts of unspecified shoulder girdle, sequela",10-S43396S
S45912D,10,"Laceration of unspecified blood vessel at shoulder and upper arm level, left arm, subsequent encounter",10-S45912D
S52023K,10,"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with nonunion",10-S52023K
S53115,10,Anterior dislocation of left ulnohumeral joint,10-S53115
S60453D,10,"Superficial foreign body of left middle finger, subsequent encounter",10-S60453D
S61305D,10,"Unspecified open wound of left ring finger with damage to nail, subsequent encounter",10-S61305D
S61442D,10,"Puncture wound with foreign body of left hand, subsequent encounter",10-S61442D
S62246A,10,"Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand, initial encounter for closed fracture",10-S62246A
S62501,10,Fracture of unspecified phalanx of right thumb,10-S62501
S62669,10,Nondisplaced fracture of distal phalanx of unspecified finger,10-S62669
S72001G,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with delayed healing",10-S72001G
S72042A,10,"Displaced fracture of base of neck of left femur, initial encounter for closed fracture",10-S72042A
