diagnosis_key,icd_code,icd_version,diagnosis_title
10-O360190,O360190,10,"Maternal care for anti-D [Rh] antibodies, unspecified trimester, not applicable or unspecified"
10-O41109,O41109,10,"Infection of amniotic sac and membranes, unspecified, unspecified trimester"
10-Q5561,Q5561,10,Curvature of penis (lateral)
10-Q5569,Q5569,10,Other congenital malformation of penis
10-Q7961,Q7961,10,Classical Ehlers-Danlos syndrome
10-R890,R890,10,"Abnormal level of enzymes in specimens from other organs, systems and tissues"
10-S0102XD,S0102XD,10,"Laceration with foreign body of scalp, subsequent encounter"
10-S01459D,S01459D,10,"Open bite of unspecified cheek and temporomandibular area, subsequent encounter"
10-S06893A,S06893A,10,"Other specified intracranial injury with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter"
10-S20312D,S20312D,10,"Abrasion of left front wall of thorax, subsequent encounter"
10-S21409S,S21409S,10,"Unspecified open wound of unspecified back wall of thorax with penetration into thoracic cavity, sequela"
10-S3096XD,S3096XD,10,"Unspecified superficial injury of unspecified external genital organs, male, subsequent encounter"
10-S3712,S3712,10,Contusion of ureter
10-S37532,S37532,10,"Laceration of fallopian tube, bilateral"
10-S39002D,S39002D,10,"Unspecified injury of muscle, fascia and tendon of lower back, subsequent encounter"
10-S41142S,S41142S,10,"Puncture wound with foreign body of left upper arm, sequela"
10-S42146A,S42146A,10,"Nondisplaced fracture of glenoid cavity of scapula, unspecified shoulder, initial encounter for closed fracture"
10-S42261,S42261,10,Displaced fracture of lesser tuberosity of right humerus
10-S4392XS,S4392XS,10,"Sprain of unspecified parts of left shoulder girdle, sequela"
10-S45092A,S45092A,10,"Other specified injury of axillary artery, left side, initial encounter"
10-S46011D,S46011D,10,"Strain of muscle(s) and tendon(s) of the rotator cuff of right shoulder, subsequent encounter"
10-S52099A,S52099A,10,"Other fracture of upper end of unspecified ulna, initial encounter for closed fracture"
10-S52223C,S52223C,10,"Displaced transverse fracture of shaft of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC"
10-S52569G,S52569G,10,"Barton's fracture of unspecified radius, subsequent encounter for closed fracture with delayed healing"
10-S53006S,S53006S,10,"Unspecified dislocation of unspecified radial head, sequela"
10-S56116A,S56116A,10,"Strain of flexor muscle, fascia and tendon of left ring finger at forearm level, initial encounter"
10-S61245,S61245,10,Puncture wound with foreign body of left ring finger without damage to nail
10-S62162,S62162,10,"Displaced fracture of pisiform, left wrist"
10-S62306P,S62306P,10,"Unspecified fracture of fifth metacarpal bone, right hand, subsequent encounter for fracture with malunion"
10-S62392G,S62392G,10,"Other fracture of third metacarpal bone, right hand, subsequent encounter for fracture with delayed healing"
10-S63240,S63240,10,Subluxation of distal interphalangeal joint of right index finger
10-S6791XS,S6791XS,10,"Crushing injury of unspecified part(s) of right wrist, hand and fingers, sequela"
10-S72115E,S72115E,10,"Nondisplaced fracture of greater trochanter of left femur, subsequent encounter for open fracture type I or II with routine healing"
10-S76812A,S76812A,10,"Strain of other specified muscles, fascia and tendons at thigh level, left thigh, initial encounter"
10-S7690,S7690,10,"Unspecified injury of unspecified muscles, fascia and tendons at thigh level"
10-S78012D,S78012D,10,"Complete traumatic amputation at left hip joint, subsequent encounter"
10-S82031G,S82031G,10,"Displaced transverse fracture of right patella, subsequent encounter for closed fracture with delayed healing"
10-S82853M,S82853M,10,"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with nonunion"
10-S86899A,S86899A,10,"Other injury of other muscle(s) and tendon(s) at lower leg level, unspecified leg, initial encounter"
10-S89309A,S89309A,10,"Unspecified physeal fracture of lower end of unspecified fibula, initial encounter for closed fracture"
10-S91031S,S91031S,10,"Puncture wound without foreign body, right ankle, sequela"
10-S92316A,S92316A,10,"Nondisplaced fracture of first metatarsal bone, unspecified foot, initial encounter for closed fracture"
10-S92516,S92516,10,Nondisplaced fracture of proximal phalanx of unspecified lesser toe(s)
10-S93511S,S93511S,10,"Sprain of interphalangeal joint of right great toe, sequela"
10-S948X,S948X,10,Injury of other nerves at ankle and foot level
10-T23249S,T23249S,10,"Burn of second degree of unspecified multiple fingers (nail), including thumb, sequela"
10-T24191,T24191,10,"Burn of first degree of multiple sites of right lower limb, except ankle and foot"
10-T2692XD,T2692XD,10,"Corrosion of left eye and adnexa, part unspecified, subsequent encounter"
10-T372X4S,T372X4S,10,"Poisoning by antimalarials and drugs acting on other blood protozoa, undetermined, sequela"
10-T385X4,T385X4,10,"Poisoning by other estrogens and progestogens, undetermined"
10-T387X5D,T387X5D,10,"Adverse effect of androgens and anabolic congeners, subsequent encounter"
10-T431X2S,T431X2S,10,"Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, sequela"
10-T462X,T462X,10,"Poisoning by, adverse effect of and underdosing of other antidysrhythmic drugs"
10-T469,T469,10,"Poisoning by, adverse effect of and underdosing of other and unspecified agents primarily affecting the cardiovascular system"
10-T485X3A,T485X3A,10,"Poisoning by other anti-common-cold drugs, assault, initial encounter"
10-T498,T498,10,"Poisoning by, adverse effect of and underdosing of other topical agents"
10-T63394D,T63394D,10,"Toxic effect of venom of other spider, undetermined, subsequent encounter"
10-T6591,T6591,10,"Toxic effect of unspecified substance, accidental (unintentional)"
10-T71122S,T71122S,10,"Asphyxiation due to plastic bag, intentional self-harm, sequela"
10-T81597,T81597,10,Other complications of foreign body accidentally left in body following removal of catheter or packing
10-T84053,T84053,10,Periprosthetic osteolysis of internal prosthetic left knee joint
10-T84116,T84116,10,Breakdown (mechanical) of internal fixation device of bone of right lower leg
10-T84621A,T84621A,10,"Infection and inflammatory reaction due to internal fixation device of left femur, initial encounter"
10-V0211XD,V0211XD,10,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
10-V3981XS,V3981XS,10,"Occupant (driver) (passenger) of three-wheeled motor vehicle injured in transport accident with military vehicle, sequela"
10-V407XXS,V407XXS,10,"Person on outside of car injured in collision with pedestrian or animal in traffic accident, sequela"
10-V563XXA,V563XXA,10,"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter"
10-V760XXA,V760XXA,10,"Driver of bus injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter"
10-V899,V899,10,Person injured in unspecified vehicle accident
10-V9110XA,V9110XA,10,"Crushed between merchant ship and other watercraft or other object due to collision, initial encounter"
10-V9139XS,V9139XS,10,"Hit or struck by falling object due to accident to unspecified watercraft, sequela"
10-W261XXA,W261XXA,10,"Contact with sword or dagger, initial encounter"
10-W503,W503,10,Accidental bite by another person
10-Y37031S,Y37031S,10,"Military operations involving explosion of sea-based artillery shell, civilian, sequela"
10-A269,A269,10,"Erysipeloid, unspecified"
10-D020,D020,10,Carcinoma in situ of larynx
10-D4110,D4110,10,Neoplasm of uncertain behavior of unspecified renal pelvis
10-E133539,E133539,10,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye"
10-F13930,F13930,10,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated"
10-F5112,F5112,10,Insufficient sleep syndrome
10-H11243,H11243,10,"Scarring of conjunctiva, bilateral"
10-H18001,H18001,10,"Unspecified corneal deposit, right eye"
10-H35311,H35311,10,"Nonexudative age-related macular degeneration, right eye"
10-H5213,H5213,10,"Myopia, bilateral"
10-H5231,H5231,10,Anisometropia
10-H5442A3,H5442A3,10,"Blindness left eye category 3, normal vision right eye"
10-H5704,H5704,10,Mydriasis
10-H6052,H6052,10,Acute chemical otitis externa
10-H9401,H9401,10,"Acoustic neuritis in infectious and parasitic diseases classified elsewhere, right ear"
10-I69098,I69098,10,Other sequelae following nontraumatic subarachnoid hemorrhage
10-I69112,I69112,10,Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage
10-I825Y2,I825Y2,10,Chronic embolism and thrombosis of unspecified deep veins of left proximal lower extremity
10-I82C19,I82C19,10,Acute embolism and thrombosis of unspecified internal jugular vein
10-K9401,K9401,10,Colostomy hemorrhage
10-L432,L432,10,Lichenoid drug reaction
10-L519,L519,10,"Erythema multiforme, unspecified"
10-M12231,M12231,10,"Villonodular synovitis (pigmented), right wrist"
10-M1A219,M1A219,10,"Drug-induced chronic gout, unspecified shoulder"
10-M213,M213,10,Wrist or foot drop (acquired)
10-M24821,M24821,10,"Other specific joint derangements of right elbow, not elsewhere classified"
10-M4321,M4321,10,"Fusion of spine, occipito-atlanto-axial region"
10-M6026,M6026,10,"Foreign body granuloma of soft tissue, not elsewhere classified, lower leg"
10-M659,M659,10,"Synovitis and tenosynovitis, unspecified"
10-M7102,M7102,10,"Abscess of bursa, elbow"
10-M726,M726,10,Necrotizing fasciitis
10-M80831D,M80831D,10,"Other osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with routine healing"
10-M85652,M85652,10,"Other cyst of bone, left thigh"
10-M8600,M8600,10,"Acute hematogenous osteomyelitis, unspecified site"
10-N16,N16,10,Renal tubulo-interstitial disorders in diseases classified elsewhere
10-O225,O225,10,Cerebral venous thrombosis in pregnancy
10-O368229,O368229,10,"Fetal anemia and thrombocytopenia, second trimester, other fetus"
10-O418X21,O418X21,10,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 1"
10-O6014X1,O6014X1,10,"Preterm labor third trimester with preterm delivery third trimester, fetus 1"
10-P15,P15,10,Other birth injuries
10-Q783,Q783,10,Progressive diaphyseal dysplasia
10-R29723,R29723,10,NIHSS score 23
10-R34,R34,10,Anuria and oliguria
10-S01401S,S01401S,10,"Unspecified open wound of right cheek and temporomandibular area, sequela"
10-S12250K,S12250K,10,"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion"
10-S14104D,S14104D,10,"Unspecified injury at C4 level of cervical spinal cord, subsequent encounter"
10-S15319,S15319,10,Minor laceration of unspecified internal jugular vein
10-S1980XS,S1980XS,10,"Other specified injuries of unspecified part of neck, sequela"
10-S21312A,S21312A,10,"Laceration without foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter"
10-S22029D,S22029D,10,"Unspecified fracture of second thoracic vertebra, subsequent encounter for fracture with routine healing"
10-S27399A,S27399A,10,"Other injuries of lung, unspecified, initial encounter"
10-S30860A,S30860A,10,"Insect bite (nonvenomous) of lower back and pelvis, initial encounter"
10-S32019S,S32019S,10,"Unspecified fracture of first lumbar vertebra, sequela"
10-S32316,S32316,10,Nondisplaced avulsion fracture of unspecified ilium
10-S3339XD,S3339XD,10,"Dislocation of other parts of lumbar spine and pelvis, subsequent encounter"
10-S35229S,S35229S,10,"Unspecified injury of superior mesenteric artery, sequela"
10-S36292D,S36292D,10,"Other injury of tail of pancreas, subsequent encounter"
10-S36410,S36410,10,Primary blast injury of duodenum
10-S3900,S3900,10,"Unspecified injury of muscle, fascia and tendon of abdomen, lower back and pelvis"
10-S40272S,S40272S,10,"Other superficial bite of left shoulder, sequela"
10-S42135K,S42135K,10,"Nondisplaced fracture of coracoid process, left shoulder, subsequent encounter for fracture with nonunion"
10-S43142D,S43142D,10,"Inferior dislocation of left acromioclavicular joint, subsequent encounter"
10-S448X1D,S448X1D,10,"Injury of other nerves at shoulder and upper arm level, right arm, subsequent encounter"
10-S52364B,S52364B,10,"Nondisplaced segmental fracture of shaft of radius, right arm, initial encounter for open fracture type I or II"
10-S52569B,S52569B,10,"Barton's fracture of unspecified radius, initial encounter for open fracture type I or II"
10-S56423D,S56423D,10,"Laceration of extensor muscle, fascia and tendon of right middle finger at forearm level, subsequent encounter"
10-S61152D,S61152D,10,"Open bite of left thumb with damage to nail, subsequent encounter"
10-S61339D,S61339D,10,"Puncture wound without foreign body of unspecified finger with damage to nail, subsequent encounter"
10-S61358S,S61358S,10,"Open bite of other finger with damage to nail, sequela"
10-S62016S,S62016S,10,"Nondisplaced fracture of distal pole of navicular [scaphoid] bone of unspecified wrist, sequela"
10-S62166D,S62166D,10,"Nondisplaced fracture of pisiform, unspecified wrist, subsequent encounter for fracture with routine healing"
10-S62232A,S62232A,10,"Other displaced fracture of base of first metacarpal bone, left hand, initial encounter for closed fracture"
10-S62361,S62361,10,"Nondisplaced fracture of neck of second metacarpal bone, left hand"
10-S62654K,S62654K,10,"Nondisplaced fracture of middle phalanx of right ring finger, subsequent encounter for fracture with nonunion"
10-S62657D,S62657D,10,"Nondisplaced fracture of middle phalanx of left little finger, subsequent encounter for fracture with routine healing"
10-S6290XB,S6290XB,10,"Unspecified fracture of unspecified wrist and hand, initial encounter for open fracture"
10-S63411D,S63411D,10,"Traumatic rupture of collateral ligament of left index finger at metacarpophalangeal and interphalangeal joint, subsequent encounter"
10-S63432,S63432,10,Traumatic rupture of volar plate of right middle finger at metacarpophalangeal and interphalangeal joint
10-S65512D,S65512D,10,"Laceration of blood vessel of right middle finger, subsequent encounter"
10-S72121Q,S72121Q,10,"Displaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type I or II with malunion"
10-S72302M,S72302M,10,"Unspecified fracture of shaft of left femur, subsequent encounter for open fracture type I or II with nonunion"
10-S72326E,S72326E,10,"Nondisplaced transverse fracture of shaft of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
10-S72331E,S72331E,10,"Displaced oblique fracture of shaft of right femur, subsequent encounter for open fracture type I or II with routine healing"
10-S72466S,S72466S,10,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of unspecified femur, sequela"
10-S728X9N,S728X9N,10,"Other fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
10-S82123H,S82123H,10,"Displaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing"
10-S82124M,S82124M,10,"Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type I or II with nonunion"
10-S82201F,S82201F,10,"Unspecified fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
10-S82431J,S82431J,10,"Displaced oblique fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
10-S82453F,S82453F,10,"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
10-S89321D,S89321D,10,"Salter-Harris Type II physeal fracture of lower end of right fibula, subsequent encounter for fracture with routine healing"
10-S90229,S90229,10,Contusion of unspecified lesser toe(s) with damage to nail
10-S92191D,S92191D,10,"Other fracture of right talus, subsequent encounter for fracture with routine healing"
10-S93101A,S93101A,10,"Unspecified subluxation of right toe(s), initial encounter"
10-S96099A,S96099A,10,"Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, unspecified foot, initial encounter"
10-S96811,S96811,10,"Strain of other specified muscles and tendons at ankle and foot level, right foot"
10-S97112D,S97112D,10,"Crushing injury of left great toe, subsequent encounter"
10-T2072XS,T2072XS,10,"Corrosion of third degree of lip(s), sequela"
10-T25429A,T25429A,10,"Corrosion of unspecified degree of unspecified foot, initial encounter"
10-T34522,T34522,10,Frostbite with tissue necrosis of left hand
10-T34832S,T34832S,10,"Frostbite with tissue necrosis of left toe(s), sequela"
10-T386X6S,T386X6S,10,"Underdosing of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, sequela"
10-T400X4A,T400X4A,10,"Poisoning by opium, undetermined, initial encounter"
10-T43502A,T43502A,10,"Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter"
10-T4595XA,T4595XA,10,"Adverse effect of unspecified primarily systemic and hematological agent, initial encounter"
10-T475X1,T475X1,10,"Poisoning by digestants, accidental (unintentional)"
10-T491X2,T491X2,10,"Poisoning by antipruritics, intentional self-harm"
10-T63191S,T63191S,10,"Toxic effect of venom of other reptiles, accidental (unintentional), sequela"
10-T7120XS,T7120XS,10,"Asphyxiation due to systemic oxygen deficiency due to low oxygen content in ambient air due to unspecified cause, sequela"
10-T8059XS,T8059XS,10,"Anaphylactic reaction due to other serum, sequela"
10-T8640,T8640,10,Unspecified complication of liver transplant
10-V00212A,V00212A,10,"Ice-skater colliding with stationary object, initial encounter"
10-V143XXA,V143XXA,10,"Person boarding or alighting a pedal cycle injured in collision with heavy transport vehicle or bus, initial encounter"
10-V264XXA,V264XXA,10,"Motorcycle driver injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
10-V313,V313,10,Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident
10-V455XXD,V455XXD,10,"Car driver injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter"
10-V9030XD,V9030XD,10,"Drowning and submersion due to falling or jumping from crushed merchant ship, subsequent encounter"
10-V9182XD,V9182XD,10,"Other injury due to other accident to fishing boat, subsequent encounter"
10-V9229XA,V9229XA,10,"Drowning and submersion due to being washed overboard from unspecified watercraft, initial encounter"
10-V9320,V9320,10,Heat exposure on board merchant ship
10-W102,W102,10,Fall (on)(from) incline
10-Y3591XD,Y3591XD,10,"Legal intervention, means unspecified, law enforcement official injured, subsequent encounter"
10-Y92192,Y92192,10,Bathroom in other specified residential institution as the place of occurrence of the external cause
10-Y92811,Y92811,10,Bus as the place of occurrence of the external cause
10-Y9374,Y9374,10,"Activity, frisbee"
9-01721,01721,9,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
9-1917,1917,9,Malignant neoplasm of brain stem
9-34432,34432,9,Monoplegia of lower limb affecting nondominant side
9-36833,36833,9,Fusion with defective stereopsis
9-3961,3961,9,Mitral valve stenosis and aortic valve insufficiency
9-6230,6230,9,Dysplasia of vagina
9-64601,64601,9,"Papyraceous fetus, delivered, with or without mention of antepartum condition"
9-65803,65803,9,"Oligohydramnios, antepartum condition or complication"
9-71887,71887,9,"Other joint derangement, not elsewhere classified, ankle and foot"
9-75441,75441,9,Congenital dislocation of knee (with genu recurvatum)
9-7595,7595,9,Tuberous sclerosis
9-78002,78002,9,Transient alteration of awareness
9-85224,85224,9,"Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
9-94251,94251,9,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of breast"
9-E9466,E9466,9,"Anti-infectives and other drugs and preparations for ear, nose, and throat causing adverse effects in therapeutic use"
9-E986,E986,9,"Injury by cutting and piercing instruments, undetermined whether accidentally or purposely inflicted"
9-V1048,V1048,9,Personal history of malignant neoplasm of epididymis
9-V4581,V4581,9,Aortocoronary bypass status
9-0010,0010,9,Cholera due to vibrio cholerae
9-01743,01743,9,"Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
9-0322,0322,9,Anterior nasal diphtheria
9-30552,30552,9,"Opioid abuse, episodic"
9-36304,36304,9,"Focal choroiditis and chorioretinitis, peripheral"
9-38914,38914,9,Central hearing loss
9-47833,47833,9,"Bilateral paralysis of vocal cords or larynx, partial"
9-5409,5409,9,Acute appendicitis without mention of peritonitis
9-67153,67153,9,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, antepartum condition or complication"
9-67311,67311,9,"Amniotic fluid embolism, delivered, with or without mention of antepartum condition"
9-85219,85219,9,"Subarachnoid hemorrhage following injury with open intracranial wound, with concussion, unspecified"
9-9890,9890,9,Toxic effect of hydrocyanic acid and cyanides
9-E8323,E8323,9,Other accidental submersion or drowning in water transport accident injuring occupant of other watercraft -- other than crew
9-E978,E978,9,Legal execution
9-13621,13621,9,Specific infection due to acanthamoeba
9-1849,1849,9,"Malignant neoplasm of female genital organ, site unspecified"
9-29580,29580,9,"Other specified types of schizophrenia, unspecified"
9-32352,32352,9,Myelitis following immunization procedures
9-34622,34622,9,"Variants of migraine, not elsewhere classified, without mention of intractable migraine with status migrainosus"
9-40310,40310,9,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified"
9-52135,52135,9,"Erosion, generalized"
9-7092,7092,9,Scar conditions and fibrosis of skin
9-83210,83210,9,"Open dislocation of elbow, unspecified"
9-E0100,E0100,9,Activity involving exercise machines primarily for muscle strengthening
9-E9330,E9330,9,Antiallergic and antiemetic drugs causing adverse effects in therapeutic use
9-20195,20195,9,"Hodgkin's disease, unspecified type, lymph nodes of inguinal region and lower limb"
9-3508,3508,9,Other specified trigeminal nerve disorders
9-53141,53141,9,"Chronic or unspecified gastric ulcer with hemorrhage, with obstruction"
9-56943,56943,9,Anal sphincter tear (healed) (old)
9-65493,65493,9,"Other and unspecified abnormality of organs and soft tissues of pelvis, antepartum condition or complication"
9-71102,71102,9,"Pyogenic arthritis, upper arm"
9-74729,74729,9,Other anomalies of aorta
9-81510,81510,9,"Open fracture of metacarpal bone(s), site unspecified"
9-9746,9746,9,"Poisoning by other mineral salts, not elsewhere classified"
9-E8540,E8540,9,Accidental poisoning by antidepressants
9-E9989,E9989,9,Injury due to unspecified war operations but occurring after cessation of hostilities
9-V1502,V1502,9,Allergy to milk products
9-V421,V421,9,Heart replaced by transplant
9-V5722,V5722,9,Encounter for vocational therapy
9-V9089,V9089,9,Other specified retained foreign body
9-01220,01220,9,"Isolated tracheal or bronchial tuberculosis, unspecified"
9-01552,01552,9,"Tuberculosis of limb bones, bacteriological or histological examination unknown (at present)"
9-01603,01603,9,"Tuberculosis of kidney, tubercle bacilli found (in sputum) by microscopy"
9-0631,0631,9,Louping ill
9-11502,11502,9,"Infection by Histoplasma capsulatum, retinitis"
9-11592,11592,9,"Histoplasmosis, unspecified, retinitis"
9-1505,1505,9,Malignant neoplasm of lower third of esophagus
9-37060,37060,9,"Corneal neovascularization, unspecified"
9-41061,41061,9,"True posterior wall infarction, initial episode of care"
9-566,566,9,Abscess of anal and rectal regions
9-63502,63502,9,"Legally induced abortion, complicated by genital tract and pelvic infection, complete"
9-75558,75558,9,"Cleft hand, congenital"
9-79952,79952,9,Cognitive communication deficit
9-80044,80044,9,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
9-8716,8716,9,Penetration of eyeball with (nonmagnetic) foreign body
9-88012,88012,9,"Open wound of axillary region, complicated"
9-94309,94309,9,"Burn of unspecified degree of multiple sites of upper limb, except wrist and hand"
9-94866,94866,9,"Burn [any degree] involving 60-69 percent of body surface with third degree burn, 60-69%"
9-99684,99684,9,Complications of transplanted lung
9-V473,V473,9,Other digestive problems
9-20275,20275,9,"Peripheral T cell lymphoma, lymph nodes of inguinal region and lower limb"
9-20295,20295,9,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of inguinal region and lower limb"
9-29560,29560,9,"Schizophrenic disorders, residual type, unspecified"
9-30276,30276,9,"Dyspareunia, psychogenic"
9-36041,36041,9,Blind hypotensive eye
9-37812,37812,9,Monocular exotropia with A pattern
9-6245,6245,9,Hematoma of vulva
9-64923,64923,9,"Bariatric surgery status complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
9-71156,71156,9,"Arthropathy associated with other viral diseases, lower leg"
9-72751,72751,9,Synovial cyst of popliteal space
9-7627,7627,9,Chorioamnionitis affecting fetus or newborn
9-88000,88000,9,"Open wound of shoulder region, without mention of complication"
9-94330,94330,9,"Full-thickness skin [third degree, not otherwise specified] of upper limb, unspecified site"
9-V070,V070,9,Need for isolation
9-0889,0889,9,"Arthropod-borne disease, unspecified"
9-20057,20057,9,"Primary central nervous system lymphoma, spleen"
9-2247,2247,9,Benign neoplasm of lacrimal duct
9-29513,29513,9,"Disorganized type schizophrenia, subchronic with acute exacerbation"
9-29633,29633,9,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior"
9-3240,3240,9,Intracranial abscess
9-3940,3940,9,Mitral stenosis
9-41406,41406,9,Coronary atherosclerosis of native coronary artery of transplanted heart
9-4149,4149,9,"Chronic ischemic heart disease, unspecified"
9-63662,63662,9,"Illegally induced abortion, complicated by embolism, complete"
9-64204,64204,9,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, postpartum condition or complication"
9-66894,66894,9,"Unspecified complication of anesthesia and other sedation in labor and delivery, postpartum condition or complication"
9-74349,74349,9,Other congenital anomalies of anterior segment
9-7514,7514,9,Anomalies of intestinal fixation
9-9649,9649,9,Poisoning by unspecified agent affecting blood constituents
9-9694,9694,9,Poisoning by benzodiazepine-based tranquilizers
9-99972,99972,9,Rh incompatibility with acute hemolytic transfusion reaction
9-E8151,E8151,9,Other motor vehicle traffic accident involving collision on the highway injuring passenger in motor vehicle other than motorcycle
9-00589,00589,9,Other bacterial food poisoning
9-0388,0388,9,Other specified septicemias
9-09810,09810,9,"Gonococcal infection (acute) of upper genitourinary tract, site unspecified"
9-1501,1501,9,Malignant neoplasm of thoracic esophagus
9-20112,20112,9,"Hodgkin's granuloma, intrathoracic lymph nodes"
9-25803,25803,9,Multiple endocrine neoplasia [MEN] type IIB
9-2830,2830,9,Autoimmune hemolytic anemias
9-2930,2930,9,Delirium due to conditions classified elsewhere
9-52463,52463,9,"Temporomandibular joint disorders, articular disc disorder (reducing or non-reducing)"
9-5804,5804,9,Acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis
9-65223,65223,9,"Breech presentation without mention of version, antepartum condition or complication"
9-67082,67082,9,"Other major puerperal infection, delivered, with mention of postpartum complication"
9-6803,6803,9,Carbuncle and furuncle of upper arm and forearm
9-6938,6938,9,Dermatitis due to other specified substances taken internally
9-70402,70402,9,Telogen effluvium
9-73689,73689,9,Other acquired deformity of other parts of limb
9-80090,80090,9,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness"
9-87329,87329,9,"Open wound of multiple sites of nose, without mention of complication"
9-9913,9913,9,Frostbite of other and unspecified sites
9-E9279,E9279,9,Unspecified overexertion and strenuous and repetitive movements or loads
9-V021,V021,9,Carrier or suspected carrier of typhoid
9-V109,V109,9,Hx of malignancy nos
9-V6222,V6222,9,Personal history of return from military deployment
9-V7646,V7646,9,Special screening for malignant neoplasms of ovary
9-061,061,9,Dengue
9-0811,0811,9,Brill's disease
9-1483,1483,9,Malignant neoplasm of posterior hypopharyngeal wall
9-3384,3384,9,Chronic pain syndrome
9-37233,37233,9,Conjunctivitis in mucocutaneous disease
9-38840,38840,9,"Abnormal auditory perception, unspecified"
9-40291,40291,9,Unspecified hypertensive heart disease with heart failure
9-53110,53110,9,"Acute gastric ulcer with perforation, without mention of obstruction"
9-58181,58181,9,Nephrotic syndrome in diseases classified elsewhere
9-66381,66381,9,"Other umbilical cord complications complicating labor and delivery, delivered, with or without mention of antepartum condition"
9-71603,71603,9,"Kaschin-Beck disease, forearm"
9-71821,71821,9,"Pathological dislocation of joint, shoulder region"
9-78199,78199,9,Other symptoms involving nervous and musculoskeletal systems
9-80135,80135,9,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
9-85222,85222,9,"Subdural hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
9-E8380,E8380,9,"Other and unspecified water transport accident injuring occupant of small boat, unpowered"
9-V0990,V0990,9,"Infection with drug-resistant microorganisms, unspecified, without mention of multiple drug resistance"
9-V1741,V1741,9,Family history of sudden cardiac death (SCD)
9-V411,V411,9,Other eye problems
9-V641,V641,9,Surgical or other procedure not carried out because of contraindication
9-04081,04081,9,Tropical pyomyositis
9-0559,0559,9,Measles without mention of complication
9-0601,0601,9,Urban yellow fever
9-1903,1903,9,Malignant neoplasm of conjunctiva
9-24280,24280,9,Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm
9-25012,25012,9,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
9-55321,55321,9,Incisional hernia without mention of obstruction or gangrene
9-5969,5969,9,Unspecified disorder of bladder
9-64693,64693,9,"Unspecified complication of pregnancy, antepartum condition or complication"
9-71643,71643,9,"Transient arthropathy, forearm"
